codigo_scian,categoria_proyecto,subcategoria,alcance,registros,justificacion
461110,Primera necesidad,"Abarrotes, ultramarinos y misceláneas",Principal,40703,Actividad relacionada con acceso a productos de primera necesidad
461121,Primera necesidad,Carnes rojas,Complementario,6287,Actividad relacionada con acceso a productos de primera necesidad
461122,Primera necesidad,Carne de aves,Complementario,6673,Actividad relacionada con acceso a productos de primera necesidad
461123,Primera necesidad,Pescados y mariscos,Complementario,625,Actividad relacionada con acceso a productos de primera necesidad
461130,Primera necesidad,Frutas y verduras,Complementario,12559,Actividad relacionada con acceso a productos de primera necesidad
461140,Primera necesidad,"Semillas, granos, especias y chiles secos",Complementario,2609,Actividad relacionada con acceso a productos de primera necesidad
461150,Primera necesidad,"Leche, lácteos y embutidos",Complementario,3009,Actividad relacionada con acceso a productos de primera necesidad
461190,Primera necesidad,Otros alimentos,Complementario,3557,Actividad relacionada con acceso a productos de primera necesidad
462111,Primera necesidad,Supermercado,Principal,454,Actividad relacionada con acceso a productos de primera necesidad
462112,Primera necesidad,Minisúper,Principal,2824,Actividad relacionada con acceso a productos de primera necesidad
464111,Complementario,Farmacia sin minisúper,Complementario,5576,Oferta complementaria relacionada con productos básicos
464112,Complementario,Farmacia con minisúper,Complementario,834,Oferta complementaria relacionada con productos básicos
