codigo_scian,categoria_proyecto,subcategoria,alcance,registros,justificacion
461110,Primera necesidad,"Abarrotes, ultramarinos y misceláneas",Principal,38996,Actividad relacionada con acceso a productos de primera necesidad
461121,Primera necesidad,Carnes rojas,Complementario,6411,Actividad relacionada con acceso a productos de primera necesidad
461122,Primera necesidad,Carne de aves,Complementario,7123,Actividad relacionada con acceso a productos de primera necesidad
461123,Primera necesidad,Pescados y mariscos,Complementario,638,Actividad relacionada con acceso a productos de primera necesidad
461130,Primera necesidad,Frutas y verduras,Complementario,13165,Actividad relacionada con acceso a productos de primera necesidad
461140,Primera necesidad,"Semillas, granos, especias y chiles secos",Complementario,2892,Actividad relacionada con acceso a productos de primera necesidad
461150,Primera necesidad,"Leche, lácteos y embutidos",Complementario,4796,Actividad relacionada con acceso a productos de primera necesidad
461190,Primera necesidad,Otros alimentos,Complementario,3889,Actividad relacionada con acceso a productos de primera necesidad
462111,Primera necesidad,Supermercado,Principal,313,Actividad relacionada con acceso a productos de primera necesidad
462112,Primera necesidad,Minisúper,Principal,3065,Actividad relacionada con acceso a productos de primera necesidad
464111,Complementario,Farmacia sin minisúper,Complementario,6572,Oferta complementaria relacionada con productos básicos
464112,Complementario,Farmacia con minisúper,Complementario,878,Oferta complementaria relacionada con productos básicos
