edicion_denue,anio_denue,mes_denue,categoria_proyecto,subcategoria_proyecto,sector_gestion,alcance_analitico,revision_manual,motivo_revision,cve_geo_ageb,id,clee,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,telefono,correoelec,www,tipoUniEco,latitud,longitud,fecha_alta
2025-05,2025,5,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,0900300010037,9341432,09003611621001151000000000U9,DANCE STUDIO,,611621,Escuelas de deporte del sector privado,0 a 5 personas,CIRCUITO,INTERIOR AVENIDA RIO CHURUBUSCO,CALLE,ABASOLO,CALLE,GOMEZ FARIAS,CALLE,VIENA,316,,PASAJE PLAZA ROMA,PISO 1,3,,COLONIA,DEL CARMEN,PASAJE Y ANDADOR COMERCIAL,PASAJE PLAZA ROMA,3,04100,09,Ciudad de México,003,Coyoacán,0001,Coyoacán,0037,020,,,,Fijo,19.3578609500000000,-99.161403140000000,2021-05
2025-05,2025,5,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,0900500010987,11139018,09005611621001612000000000U5,DAGONES ESCUELA DE NATACION,,611621,Escuelas de deporte del sector privado,6 a 10 personas,CALLE,AXAYACATL,CALLE,CUITLAHUAC,AVENIDA,HUITZILIHUITL (LAS TORRES),CALLE,MOCTEZUMA,3,,,,3,,COLONIA,SANTA ISABEL TOLA,,,,07010,09,Ciudad de México,005,Gustavo A. Madero,0001,Gustavo A. Madero,0987,008,,DAGONES.AXAYACATL@GMAIL.COM,WWW.DAGONES.COM,Fijo,19.4974965600000000,-99.115435750000000,2024-11
2025-05,2025,5,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,0901200010394,7804922,09012713943002192000000000U8,CROSS BOX 10 CERO DOS,,611621,Escuelas de deporte del sector privado,0 a 5 personas,CALLE,TESOREROS,CALLE,COAPA,CALLE,CUAUHTEMOC,CALLE,MOCTEZUMA,68,,,,,,COLONIA,TORIELLO GUERRA,,,,14050,09,Ciudad de México,012,Tlalpan,0001,Tlalpan,0394,005,5540827102,,WWW.CF10CERODOS.COM,Fijo,19.2944330400000000,-99.168422180000000,2019-11
2025-05,2025,5,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,0900700010040,728024,09007713943003341010000000U0,BALLET Y YOGA,,611621,Escuelas de deporte del sector privado,0 a 5 personas,CALLE,PABLO GARCIA,CALLE,FRANCISCO GARCIA SALINAS,CALLE,JOSE MARIA CHAVEZ,CALLE,CORONEL LINO MERINO,382,,,,0,,COLONIA,JUAN ESCUTIA,,,,09100,09,Ciudad de México,007,Iztapalapa,0001,Iztapalapa,0040,014,5520804006,,,Fijo,19.3927832100000000,-99.046175670000000,2014-12
2025-05,2025,5,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,0901500011182,8385849,09015611621000972000000000U3,ASOCIACION INTERNACIONAL DE YOGA Y YOGUISMO,ADRIAN MARCILLI ESQUIVEL AC,611621,Escuelas de deporte del sector privado,6 a 10 personas,AVENIDA,SONORA,CALLE,COLIMA,CALLE,PARQUE ESPAÑA,CALLE,GUADALAJARA,119,,EDIFICIO SONORA 119,PISO 1,103,,COLONIA,ROMA NORTE,EDIFICIO COMERCIAL Y DE SERVIC,EDIFICIO SONORA 119,103,06700,09,Ciudad de México,015,Cuauhtémoc,0001,Cuauhtémoc,1182,014,,,,Fijo,19.4165570900000000,-99.170682190000000,2019-11
2025-05,2025,5,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,0900700014081,8254232,09007713943004421000000000U9,ASOCIASION NACIONAL DE ARTES MARCIALES ANAM,,611621,Escuelas de deporte del sector privado,0 a 5 personas,CALLE,3,CALLE,NOGAL,CALLE,4,CALLE,5,138,MZG,,,,,COLONIA,XALPA,,,,09640,09,Ciudad de México,007,Iztapalapa,0001,Iztapalapa,4081,015,5629566855,,,Fijo,19.3410396200000000,-99.010854140000000,2019-11
2025-05,2025,5,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,0901100010645,1047686,09011713943000131000000000U0,ASOCIACION MEXICANA MDK AC ESCUELA MIGUEL HIDALGO,,611621,Escuelas de deporte del sector privado,0 a 5 personas,CALLE,DEODATO,CALLE,ADRIANA,CALLE,AIDA,CALLE,NICOLAS CHAMPION (RAFAEL VARGAS),25,,,,,,COLONIA,MIGUEL HIDALGO,,,,13200,09,Ciudad de México,011,Tláhuac,0001,Tláhuac,0645,024,5529374176,,,Fijo,19.2942130300000000,-99.052492740000000,2010-07
2025-05,2025,5,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,0901400011005,8539690,09014611621000881000000000U9,ARUMA YOGA SERENIDAD QUE TRANSFORMA,,611621,Escuelas de deporte del sector privado,6 a 10 personas,AVENIDA,PIRINEOS,CALLE,ANTILLAS,CALLE,ALHAMBRA,CALLE,BULGARIA,68,,,,,5,COLONIA,PORTALES SUR,,,,03300,09,Ciudad de México,014,Benito Juárez,0001,Benito Juárez,1005,027,5521321200,ARUMASERENIDADQUETRANSFORMA@GMAIL.COM,WWW.ARUMAYOGA.COM,Fijo,19.3617172100000000,-99.144461930000000,2019-11
2025-05,2025,5,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,0901700010136,653091,09017713941000011000000000U5,COPA FUTBOL AC,FRANCISCO JOEL PADILLA GUTIERREZ SC,611621,Escuelas de deporte del sector privado,0 a 5 personas,AVENIDA,OCEANIA,AVENIDA,608,AVENIDA,TAHEL,AVENIDA,602 (AVENIDA TEXCOCO-VIA TAPO),0,SN,,,,,COLONIA,PENSADOR MEXICANO,,,,15510,09,Ciudad de México,017,Venustiano Carranza,0001,Venustiano Carranza,0136,001,5557603021,,,Fijo,19.4491204300000000,-99.081896930000000,2010-07
2025-05,2025,5,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,0901200010375,875365,09012713941000143001000000U7,CORPORACION GARLOPS,ESCUELA DE NATACION MORSAS SA DE CV,611621,Escuelas de deporte del sector privado,11 a 30 personas,CALLE,11 MARTIRES,CALLE,BELISARIO DOMINGUEZ,CALLE,INDEPENDENCIA,CALLE,AYUNTAMIENTO,60,,,,,,COLONIA,TLALPAN CENTRO,,,,14000,09,Ciudad de México,012,Tlalpan,0001,Tlalpan,0375,003,,ESCUELADENATACIONMORSAS@GMAIL.COM,WWW.NATACIONMORSAS.COM,Fijo,19.2934775400000000,-99.176915410000000,2012-06
2025-05,2025,5,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,0901400010952,979693,09014611621000513000000000U8,AGUA VIVA ACUATICA,,611621,Escuelas de deporte del sector privado,0 a 5 personas,CALLE,MAYORAZGO DE ORDUÑA,CALLE,MAYORAZGO HIGUERA,CALLE,MAYORAZGO HIGUERA,CALLE,MAYORAZGO DE ORDUÑA,31,,,,,,COLONIA,XOCO,,,,03330,09,Ciudad de México,014,Benito Juárez,0001,Benito Juárez,0952,003,,,,Fijo,19.3628315000000000,-99.166491190000000,2010-07
2025-05,2025,5,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,090160001075A,762866,09016713943000333010000000U1,AGORALUCIS,AGORALUCIS SA DE CV,611621,Escuelas de deporte del sector privado,11 a 30 personas,CALLE,JUAN DE LAFONTAINE,AVENIDA,PRESIDENTE MASARYK,AVENIDA,EMILIO CASTELAR,CALLE,PEDRO CALDERON DE LA BARCA,78,,,,,,COLONIA,POLANCO III SECCION,,,,11540,09,Ciudad de México,016,Miguel Hidalgo,0001,Miguel Hidalgo,075A,009,,,WWW.AGORALUCIS.COM,Fijo,19.4306302800000000,-99.198581880000000,2010-07
2025-05,2025,5,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,0900500010205,640630,09005713943001151010000000U9,ARIAS BOXING CLUB,,611621,Escuelas de deporte del sector privado,0 a 5 personas,CALLE,TEPEU,AVENIDA,GUADALUPE VICTORIA,AVENIDA,AVENIDA DEL CASTILLO,CALLE,TEPEU,15,,,,0,,COLONIA,GUADALUPE VICTORIA,,,,07790,09,Ciudad de México,005,Gustavo A. Madero,0001,Gustavo A. Madero,0205,036,,,,Fijo,19.5435725900000000,-99.137333600000000,2010-07
2025-05,2025,5,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,0900500012220,10674726,09005711211000021000000000U9,ARTES MARCIALES KOREAN MARTIAL,,611621,Escuelas de deporte del sector privado,0 a 5 personas,CALLE,NORTE 84,CALLE,ORIENTE 95,CALLE,ORIENTE 91,CALLE,NORTE 82-A,4726,,,,,,COLONIA,NUEVA TENOCHTITLAN,,,,07890,09,Ciudad de México,005,Gustavo A. Madero,0001,Gustavo A. Madero,2220,006,5578675966,,,Fijo,19.4581312200000000,-99.103642200000000,2024-11
