campo,tipo,descripcion
edicion_denue,Derivado,Mes y año de la edición DENUE.
anio_denue,Derivado,Año estadístico de la edición.
mes_denue,Derivado,Mes estadístico de la edición.
categoria_proyecto,Derivado,Categoría analítica del proyecto.
subcategoria_proyecto,Derivado,Subcategoría derivada del código SCIAN.
alcance_analitico,Derivado,Principal o complementario.
es_primera_necesidad,Derivado,Indica si el establecimiento forma parte del indicador principal.
es_tienda_imss,Derivado,Identifica tiendas IMSS detectadas mediante actividad y nombre.
infraestructura_comercial,Derivado,Tipo de complejo comercial relevante reportado por DENUE.
revision_manual,Derivado,Indica si conviene revisar el registro.
motivo_revision,Derivado,Motivo concreto de revisión.
cve_geo_ageb,Derivado,Concatenación cve_ent+cve_mun+cve_loc+ageb.
id,Campo original DENUE,Consultar diccionario oficial incluido en fuente.
nom_estab,Campo original DENUE,Consultar diccionario oficial incluido en fuente.
raz_social,Campo original DENUE,Consultar diccionario oficial incluido en fuente.
codigo_act,Campo original DENUE,Consultar diccionario oficial incluido en fuente.
nombre_act,Campo original DENUE,Consultar diccionario oficial incluido en fuente.
per_ocu,Campo original DENUE,Consultar diccionario oficial incluido en fuente.
tipo_vial,Campo original DENUE,Consultar diccionario oficial incluido en fuente.
nom_vial,Campo original DENUE,Consultar diccionario oficial incluido en fuente.
tipo_v_e_1,Campo original DENUE,Consultar diccionario oficial incluido en fuente.
nom_v_e_1,Campo original DENUE,Consultar diccionario oficial incluido en fuente.
tipo_v_e_2,Campo original DENUE,Consultar diccionario oficial incluido en fuente.
nom_v_e_2,Campo original DENUE,Consultar diccionario oficial incluido en fuente.
tipo_v_e_3,Campo original DENUE,Consultar diccionario oficial incluido en fuente.
nom_v_e_3,Campo original DENUE,Consultar diccionario oficial incluido en fuente.
numero_ext,Campo original DENUE,Consultar diccionario oficial incluido en fuente.
letra_ext,Campo original DENUE,Consultar diccionario oficial incluido en fuente.
edificio,Campo original DENUE,Consultar diccionario oficial incluido en fuente.
edificio_e,Campo original DENUE,Consultar diccionario oficial incluido en fuente.
numero_int,Campo original DENUE,Consultar diccionario oficial incluido en fuente.
letra_int,Campo original DENUE,Consultar diccionario oficial incluido en fuente.
tipo_asent,Campo original DENUE,Consultar diccionario oficial incluido en fuente.
nomb_asent,Campo original DENUE,Consultar diccionario oficial incluido en fuente.
tipoCenCom,Campo original DENUE,Consultar diccionario oficial incluido en fuente.
nom_CenCom,Campo original DENUE,Consultar diccionario oficial incluido en fuente.
num_local,Campo original DENUE,Consultar diccionario oficial incluido en fuente.
cod_postal,Campo original DENUE,Consultar diccionario oficial incluido en fuente.
cve_ent,Campo original DENUE,Consultar diccionario oficial incluido en fuente.
entidad,Campo original DENUE,Consultar diccionario oficial incluido en fuente.
cve_mun,Campo original DENUE,Consultar diccionario oficial incluido en fuente.
municipio,Campo original DENUE,Consultar diccionario oficial incluido en fuente.
cve_loc,Campo original DENUE,Consultar diccionario oficial incluido en fuente.
localidad,Campo original DENUE,Consultar diccionario oficial incluido en fuente.
ageb,Campo original DENUE,Consultar diccionario oficial incluido en fuente.
manzana,Campo original DENUE,Consultar diccionario oficial incluido en fuente.
telefono,Campo original DENUE,Consultar diccionario oficial incluido en fuente.
correoelec,Campo original DENUE,Consultar diccionario oficial incluido en fuente.
www,Campo original DENUE,Consultar diccionario oficial incluido en fuente.
tipoUniEco,Campo original DENUE,Consultar diccionario oficial incluido en fuente.
latitud,Campo original DENUE,Consultar diccionario oficial incluido en fuente.
longitud,Campo original DENUE,Consultar diccionario oficial incluido en fuente.
fecha_alta,Campo original DENUE,Consultar diccionario oficial incluido en fuente.
