codigo_scian,categoria_proyecto,subcategoria,alcance,registros,justificacion
461110,Primera necesidad,"Abarrotes, ultramarinos y misceláneas",Principal,41746,Actividad relacionada con acceso a productos de primera necesidad
461121,Primera necesidad,Carnes rojas,Complementario,6419,Actividad relacionada con acceso a productos de primera necesidad
461122,Primera necesidad,Carne de aves,Complementario,5963,Actividad relacionada con acceso a productos de primera necesidad
461123,Primera necesidad,Pescados y mariscos,Complementario,641,Actividad relacionada con acceso a productos de primera necesidad
461130,Primera necesidad,Frutas y verduras,Complementario,13095,Actividad relacionada con acceso a productos de primera necesidad
461140,Primera necesidad,"Semillas, granos, especias y chiles secos",Complementario,2496,Actividad relacionada con acceso a productos de primera necesidad
461150,Primera necesidad,"Leche, lácteos y embutidos",Complementario,2770,Actividad relacionada con acceso a productos de primera necesidad
461190,Primera necesidad,Otros alimentos,Complementario,3701,Actividad relacionada con acceso a productos de primera necesidad
462111,Primera necesidad,Supermercado,Principal,457,Actividad relacionada con acceso a productos de primera necesidad
462112,Primera necesidad,Minisúper,Principal,3210,Actividad relacionada con acceso a productos de primera necesidad
464111,Complementario,Farmacia sin minisúper,Complementario,5668,Oferta complementaria relacionada con productos básicos
464112,Complementario,Farmacia con minisúper,Complementario,831,Oferta complementaria relacionada con productos básicos
