edicion_denue,anio_denue,mes_denue,categoria_proyecto,subcategoria_proyecto,sector_gestion,alcance_analitico,revision_manual,motivo_revision,cve_geo_ageb,id,clee,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,telefono,correoelec,www,tipoUniEco,latitud,longitud,fecha_alta
2024-11,2024,11,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,0901400011005,8539690,09014611621000881000000000U9,ARUMA YOGA SERENIDAD QUE TRANSFORMA,,611621,Escuelas de deporte del sector privado,6 a 10 personas,AVENIDA,PIRINEOS,CALLE,ANTILLAS,CALLE,ALHAMBRA,CALLE,BULGARIA,68,,,,,5,COLONIA,PORTALES SUR,,,,03300,09,Ciudad de México,014,Benito Juárez,0001,Benito Juárez,1005,027,5521321200,ARUMASERENIDADQUETRANSFORMA@GMAIL.COM,WWW.ARUMAYOGA.COM,Fijo,19.3617116500000000,-99.144462890000000,2019-11
2024-11,2024,11,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,0900700014081,8254232,09007713943004421000000000U9,ASOCIASION NACIONAL DE ARTES MARCIALES ANAM,,611621,Escuelas de deporte del sector privado,0 a 5 personas,CALLE,3,CALLE,NOGAL,CALLE,4,CALLE,5,138,MZG,,,,,COLONIA,XALPA,,,,09640,09,Ciudad de México,007,Iztapalapa,0001,Iztapalapa,4081,015,5629566855,,,Fijo,19.3410321600000000,-99.010855660000000,2019-11
2024-11,2024,11,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,0901100010645,1047686,09011713943000131000000000U0,ASOCIACION MEXICANA MDK AC ESCUELA MIGUEL HIDALGO,,611621,Escuelas de deporte del sector privado,0 a 5 personas,CALLE,DEODATO,CALLE,ADRIANA,CALLE,AIDA,CALLE,NICOLAS CHAMPION (RAFAEL VARGAS),25,,,,,,COLONIA,MIGUEL HIDALGO,,,,13200,09,Ciudad de México,011,Tláhuac,0001,Tláhuac,0645,024,5529374176,,,Fijo,19.2942084600000000,-99.052496480000000,2010-07
2024-11,2024,11,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,0901500011182,8385849,09015611621000972000000000U3,ASOCIACION INTERNACIONAL DE YOGA Y YOGUISMO,ADRIAN MARCILLI ESQUIVEL AC,611621,Escuelas de deporte del sector privado,6 a 10 personas,AVENIDA,SONORA,CALLE,COLIMA,CALLE,PARQUE ESPAÑA,CALLE,GUADALAJARA,119,,EDIFICIO SONORA 119,PISO 1,103,,COLONIA,ROMA NORTE,EDIFICIO COMERCIAL Y DE SERVIC,EDIFICIO SONORA 119,103,06700,09,Ciudad de México,015,Cuauhtémoc,0001,Cuauhtémoc,1182,014,,,,Fijo,19.4165553800000000,-99.170684710000000,2019-11
2024-11,2024,11,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,0900700010040,728024,09007713943003341010000000U0,BALLET Y YOGA,,611621,Escuelas de deporte del sector privado,0 a 5 personas,CALLE,PABLO GARCIA,CALLE,FRANCISCO GARCIA SALINAS,CALLE,JOSE MARIA CHAVEZ,CALLE,CORONEL LINO MERINO,382,,,,0,,COLONIA,JUAN ESCUTIA,,,,09100,09,Ciudad de México,007,Iztapalapa,0001,Iztapalapa,0040,014,5520804006,,,Fijo,19.3927786300000000,-99.046178600000000,2014-12
2024-11,2024,11,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,0900800010141,1023695,09008611621000011000000000U5,CENTRO DEPORTIVO MARCIAL KUNG DO LAMA,,611621,Escuelas de deporte del sector privado,0 a 5 personas,CERRADA,CRUZ BLANCA,CALLE,OLIVOS,CALLE,ORQUIDEA,AVENIDA,LUIS CABRERA,0,SN,,,,,COLONIA,LA MALINCHE,,,,10010,09,Ciudad de México,008,La Magdalena Contreras,0001,La Magdalena Contreras,0141,027,,KUNGDOLAMA2003@HOTMAIL.COM,,Fijo,19.3228698900000000,-99.243125720000000,2010-07
2024-11,2024,11,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,0901000012184,11586754,09010611621000833000000000U8,CENTRO ECUESTRE EL CIRUELO,CENTRO ECUESTRE EL CIRUELO AC,611621,Escuelas de deporte del sector privado,11 a 30 personas,CALLE,NINGUNO,CALLE,NINGUNO,CALLE,NINGUNO,CALLE,NINGUNO,5,,,,,,COLONIA,LAS AGUILAS 2DO PARQUE,,,,01750,09,Ciudad de México,010,Álvaro Obregón,0001,Álvaro Obregón,2184,006,5533336101,,,Fijo,19.3562452700000000,-99.221599940000000,2024-11
2024-11,2024,11,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,0900700012155,839670,09007611621001701000000000U2,ESCUELA DE KARATE,,611621,Escuelas de deporte del sector privado,0 a 5 personas,CALLE,AZTECAS,AVENIDA,EMILIANO ZAPATA,AVENIDA,IGNACIO ALDAMA,CALLE,TOLTECAS,11,,,,0,,COLONIA,TEZONCO,,,,09900,09,Ciudad de México,007,Iztapalapa,0001,Iztapalapa,2155,017,,,,Fijo,19.3002362100000000,-99.072186550000000,2014-12
2024-11,2024,11,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,0900600010363,709950,09006611621000321000000000U2,ESCUELA DE KARATE,,611621,Escuelas de deporte del sector privado,0 a 5 personas,CALLE,SUR 12,CALLE,ORIENTE 257,CALLE,ORIENTE 259,CALLE,SUR 12-C,581,,,,0,,COLONIA,AGRICOLA ORIENTAL,,,,08500,09,Ciudad de México,006,Iztacalco,0001,Iztacalco,0363,018,5582109609,LUNAKARATEDO@GMAIL.COM,,Fijo,19.3955170500000000,-99.062076500000000,2014-12
2024-11,2024,11,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,0900200010519,10691181,09002611621000391000000000S4,ESCUELA DE GIMNACIA RITMICA KLEOS,,611621,Escuelas de deporte del sector privado,0 a 5 personas,CALLE,NORTE 73,CALLE,RABAUL,CALLE,AQUILES ELORDUY,CALLE,NORTE 75,330,,,,,,COLONIA,JARDIN AZTEPIA,,,,02530,09,Ciudad de México,002,Azcapotzalco,0001,Azcapotzalco,0519,023,5519695252,KLEOSGIMNACIARITMICA@HOTMAIL.COM,WWW.KLEOSGIMNACIARITMICA.COM,Fijo,19.4743457300000000,-99.174183520000000,2024-11
