codigo_scian,categoria_proyecto,subcategoria,alcance,registros,justificacion
461110,Primera necesidad,"Abarrotes, ultramarinos y misceláneas",Principal,37466,Actividad relacionada con acceso a productos de primera necesidad
461121,Primera necesidad,Carnes rojas,Complementario,6299,Actividad relacionada con acceso a productos de primera necesidad
461122,Primera necesidad,Carne de aves,Complementario,6976,Actividad relacionada con acceso a productos de primera necesidad
461123,Primera necesidad,Pescados y mariscos,Complementario,628,Actividad relacionada con acceso a productos de primera necesidad
461130,Primera necesidad,Frutas y verduras,Complementario,12528,Actividad relacionada con acceso a productos de primera necesidad
461140,Primera necesidad,"Semillas, granos, especias y chiles secos",Complementario,2685,Actividad relacionada con acceso a productos de primera necesidad
461150,Primera necesidad,"Leche, lácteos y embutidos",Complementario,4756,Actividad relacionada con acceso a productos de primera necesidad
461190,Primera necesidad,Otros alimentos,Complementario,3713,Actividad relacionada con acceso a productos de primera necesidad
462111,Primera necesidad,Supermercado,Principal,516,Actividad relacionada con acceso a productos de primera necesidad
462112,Primera necesidad,Minisúper,Principal,3599,Actividad relacionada con acceso a productos de primera necesidad
464111,Complementario,Farmacia sin minisúper,Complementario,6381,Oferta complementaria relacionada con productos básicos
464112,Complementario,Farmacia con minisúper,Complementario,858,Oferta complementaria relacionada con productos básicos
